"","symbol","sector"
"1","A","Healthcare"
"2","AA","Basic Materials"
"3","AABA","Financial Services"
"4","AAC","Healthcare"
"5","AAL","Industrials"
"6","AAMC","Financial Services"
"7","AAME","Financial Services"
"8","AAN","Industrials"
"9","AAOI","Technology"
"10","AAON","Basic Materials"
"11","AAP","Consumer Cyclical"
"12","AAPL","Technology"
"13","AAT","Real Estate"
"14","AAU","Basic Materials"
"15","AAWW","Industrials"
"16","AAXN","Industrials"
"17","AB","Financial Services"
"18","ABAC","Consumer Defensive"
"19","ABB","Industrials"
"20","ABBV","Healthcare"
"21","ABC","Healthcare"
"22","ABCB","Financial Services"
"23","ABCD","Consumer Defensive"
"24","ABDC","Financial Services"
"25","ABEO","Healthcare"
"26","ABEV","Consumer Defensive"
"27","ABG","Consumer Cyclical"
"28","ABIL","Technology"
"29","ABIO","Healthcare"
"30","ABM","Industrials"
"31","ABMD","Healthcare"
"32","ABR","Real Estate"
"33","ABR-A","Real Estate"
"34","ABR-B","Real Estate"
"35","ABR-C","Real Estate"
"36","ABT","Healthcare"
"37","ABTX","Financial Services"
"38","ABUS","Healthcare"
"39","ABX","Basic Materials"
"40","AC","Financial Services"
"41","ACAD","Healthcare"
"42","ACB","Healthcare"
"43","ACBI","Financial Services"
"44","ACC","Real Estate"
"45","ACCO","Industrials"
"46","ACER","Healthcare"
"47","ACET","Healthcare"
"48","ACGL","Financial Services"
"49","ACGLO","Financial Services"
"50","ACGLP","Financial Services"
"51","ACH","Basic Materials"
"52","ACHC","Healthcare"
"53","ACHN","Healthcare"
"54","ACHV","Healthcare"
"55","ACIA","Technology"
"56","ACIU","Healthcare"
"57","ACIW","Technology"
"58","ACLS","Technology"
"59","ACM","Industrials"
"60","ACMR","Technology"
"61","ACN","Technology"
"62","ACNB","Financial Services"
"63","ACOR","Healthcare"
"64","ACP","Financial Services"
"65","ACRE","Real Estate"
"66","ACRS","Healthcare"
"67","ACRX","Healthcare"
"68","ACST","Healthcare"
"69","ACTG","Industrials"
"70","ACU","Consumer Defensive"
"71","ACV","Financial Services"
"72","ACY","Industrials"
"73","ADAP","Healthcare"
"74","ADBE","Technology"
"75","ADC","Real Estate"
"76","ADES","Industrials"
"77","ADI","Technology"
"78","ADIL","Healthcare"
"79","ADM","Consumer Defensive"
"80","ADMA","Healthcare"
"81","ADMP","Healthcare"
"82","ADMS","Healthcare"
"83","ADNT","Consumer Cyclical"
"84","ADOM","Consumer Cyclical"
"85","ADP","Industrials"
"86","ADRO","Healthcare"
"87","ADS","Financial Services"
"88","ADSK","Technology"
"89","ADSW","Industrials"
"90","ADT","Industrials"
"91","ADTN","Technology"
"92","ADUS","Healthcare"
"93","ADVM","Healthcare"
"94","ADX","Financial Services"
"95","ADXS","Healthcare"
"96","AE","Energy"
"97","AEB","Financial Services"
"98","AED","Financial Services"
"99","AEE","Utilities"
"100","AEF","Financial Services"
"101","AEG","Financial Services"
"102","AEGN","Industrials"
"103","AEH","Financial Services"
"104","AEHR","Technology"
"105","AEIS","Technology"
"106","AEL","Financial Services"
"107","AEM","Basic Materials"
"108","AEMD","Technology"
"109","AEO","Consumer Cyclical"
"110","AEP","Utilities"
"111","AER","Industrials"
"112","AERI","Healthcare"
"113","AES","Utilities"
"114","AETI","Industrials"
"115","AEY","Technology"
"116","AEYE","Technology"
"117","AEZS","Healthcare"
"118","AFB","Financial Services"
"119","AFC","Financial Services"
"120","AFG","Financial Services"
"121","AFH","Financial Services"
"122","AFI","Basic Materials"
"123","AFIN","Real Estate"
"124","AFL","Financial Services"
"125","AFMD","Healthcare"
"126","AFSI-A","Financial Services"
"127","AFSI-B","Financial Services"
"128","AFSI-C","Financial Services"
"129","AFSI-D","Financial Services"
"130","AFSI-E","Financial Services"
"131","AFSI-F","Financial Services"
"132","AFT","Financial Services"
"133","AG","Basic Materials"
"134","AGCO","Industrials"
"135","AGD","Financial Services"
"136","AGEN","Healthcare"
"137","AGFS","Basic Materials"
"138","AGI","Basic Materials"
"139","AGIO","Healthcare"
"140","AGLE","Healthcare"
"141","AGM","Financial Services"
"142","AGM-A","Financial Services"
"143","AGM-B","Financial Services"
"144","AGM-C","Financial Services"
"145","AGM.A","Financial Services"
"146","AGMH","Technology"
"147","AGN","Healthcare"
"148","AGNC","Real Estate"
"149","AGNCB","Real Estate"
"150","AGNCN","Real Estate"
"151","AGO","Financial Services"
"152","AGO-E","Financial Services"
"153","AGR","Utilities"
"154","AGRO","Consumer Defensive"
"155","AGRX","Healthcare"
"156","AGS","Consumer Cyclical"
"157","AGTC","Healthcare"
"158","AGX","Industrials"
"159","AGYS","Technology"
"160","AHC","Consumer Cyclical"
"161","AHH","Real Estate"
"162","AHL","Financial Services"
"163","AHL-C","Financial Services"
"164","AHL-D","Financial Services"
"165","AHPA","Industrials"
"166","AHPAU","Industrials"
"167","AHPI","Healthcare"
"168","AHT","Real Estate"
"169","AHT-D","Real Estate"
"170","AHT-F","Real Estate"
"171","AHT-G","Real Estate"
"172","AHT-H","Real Estate"
"173","AHT-I","Real Estate"
"174","AI","Financial Services"
"175","AI-B","Financial Services"
"176","AIF","Financial Services"
"177","AIG","Financial Services"
"178","AIG+","Financial Services"
"179","AIHS","Financial Services"
"180","AIMC","Industrials"
"181","AIMT","Healthcare"
"182","AIN","Consumer Cyclical"
"183","AINC","Financial Services"
"184","AINV","Financial Services"
"185","AIPT","Healthcare"
"186","AIR","Industrials"
"187","AIRG","Technology"
"188","AIRI","Industrials"
"189","AIRT","Industrials"
"190","AIT","Industrials"
"191","AIV","Real Estate"
"192","AIV-A","Real Estate"
"193","AIW","Financial Services"
"194","AIY","Financial Services"
"195","AIZ","Financial Services"
"196","AIZP","Financial Services"
"197","AJG","Financial Services"
"198","AJRD","Industrials"
"199","AJX","Real Estate"
"200","AKAM","Technology"
"201","AKAO","Healthcare"
"202","AKBA","Healthcare"
"203","AKCA","Healthcare"
"204","AKER","Healthcare"
"205","AKG","Basic Materials"
"206","AKO.A","Consumer Defensive"
"207","AKO.B","Consumer Defensive"
"208","AKP","Financial Services"
"209","AKR","Real Estate"
"210","AKRX","Healthcare"
"211","AKS","Basic Materials"
"212","AKTS","Technology"
"213","AKTX","Healthcare"
"214","AL","Industrials"
"215","ALB","Basic Materials"
"216","ALBO","Healthcare"
"217","ALCO","Consumer Defensive"
"218","ALDR","Healthcare"
"219","ALDX","Healthcare"
"220","ALE","Utilities"
"221","ALEX","Real Estate"
"222","ALG","Industrials"
"223","ALGN","Healthcare"
"224","ALGR","Industrials"
"225","ALGRU","Industrials"
"226","ALGT","Industrials"
"227","ALIM","Healthcare"
"228","ALJJ","Industrials"
"229","ALK","Industrials"
"230","ALKS","Healthcare"
"231","ALL","Financial Services"
"232","ALL-A","Financial Services"
"233","ALL-B","Financial Services"
"234","ALL-D","Financial Services"
"235","ALL-E","Financial Services"
"236","ALL-F","Financial Services"
"237","ALL-G","Financial Services"
"238","ALLE","Industrials"
"239","ALLK","Healthcare"
"240","ALLO","Healthcare"
"241","ALLT","Technology"
"242","ALLY","Financial Services"
"243","ALLY-A","Financial Services"
"244","ALNA","Healthcare"
"245","ALNY","Healthcare"
"246","ALO","Basic Materials"
"247","ALOT","Technology"
"248","ALP-Q","Utilities"
"249","ALPN","Healthcare"
"250","ALQA","Healthcare"
"251","ALRM","Technology"
"252","ALRN","Healthcare"
"253","ALSK","Communication Services"
"254","ALSN","Consumer Cyclical"
"255","ALT","Healthcare"
"256","ALTM","Energy"
"257","ALTR","Technology"
"258","ALV","Consumer Cyclical"
"259","ALX","Real Estate"
"260","ALXN","Healthcare"
"261","ALYA","Technology"
"262","ALZH","Healthcare"
"263","AM","Energy"
"264","AMAG","Healthcare"
"265","AMAL","Financial Services"
"266","AMAT","Technology"
"267","AMBA","Technology"
"268","AMBC","Financial Services"
"269","AMBCW","Financial Services"
"270","AMBO","Consumer Defensive"
"271","AMBR","Technology"
"272","AMC","Consumer Cyclical"
"273","AMCN","Consumer Cyclical"
"274","AMCX","Consumer Cyclical"
"275","AMD","Technology"
"276","AME","Industrials"
"277","AMED","Healthcare"
"278","AMEH","Healthcare"
"279","AMG","Financial Services"
"280","AMGN","Healthcare"
"281","AMGP","Energy"
"282","AMH","Real Estate"
"283","AMH-D","Real Estate"
"284","AMH-E","Real Estate"
"285","AMH-F","Real Estate"
"286","AMH-G","Real Estate"
"287","AMID","Energy"
"288","AMKR","Technology"
"289","AMMA","Consumer Cyclical"
"290","AMN","Healthcare"
"291","AMNB","Financial Services"
"292","AMOT","Technology"
"293","AMOV","Communication Services"
"294","AMP","Financial Services"
"295","AMPE","Healthcare"
"296","AMPH","Healthcare"
"297","AMR","Industrials"
"298","AMRB","Financial Services"
"299","AMRC","Industrials"
"300","AMRH","Technology"
"301","AMRK","Financial Services"
"302","AMRN","Healthcare"
"303","AMRS","Basic Materials"
"304","AMRX","Healthcare"
"305","AMS","Healthcare"
"306","AMSC","Technology"
"307","AMSF","Financial Services"
"308","AMSWA","Technology"
"309","AMT","Communication Services"
"310","AMTD","Financial Services"
"311","AMTX","Basic Materials"
"312","AMWD","Consumer Cyclical"
"313","AMX","Communication Services"
"314","AMZN","Consumer Cyclical"
"315","AN","Consumer Cyclical"
"316","ANAB","Healthcare"
"317","ANAT","Financial Services"
"318","ANCX","Financial Services"
"319","ANDE","Consumer Defensive"
"320","ANDX","Energy"
"321","ANET","Technology"
"322","ANF","Consumer Cyclical"
"323","ANFI","Consumer Defensive"
"324","ANGI","Technology"
"325","ANGO","Healthcare"
"326","ANH","Real Estate"
"327","ANH-A","Real Estate"
"328","ANH-B","Real Estate"
"329","ANH-C","Real Estate"
"330","ANIK","Healthcare"
"331","ANIP","Healthcare"
"332","ANIX","Healthcare"
"333","ANSS","Technology"
"334","ANTM","Healthcare"
"335","ANY","Technology"
"336","AOBC","Industrials"
"337","AOD","Financial Services"
"338","AON","Financial Services"
"339","AOS","Industrials"
"340","AOSL","Technology"
"341","AP","Industrials"
"342","APA","Energy"
"343","APAM","Financial Services"
"344","APB","Financial Services"
"345","APC","Energy"
"346","APD","Basic Materials"
"347","APDN","Industrials"
"348","APEI","Consumer Defensive"
"349","APEN","Healthcare"
"350","APF","Financial Services"
"351","APH","Technology"
"352","APHA","Healthcare"
"353","APHB","Healthcare"
"354","APLE","Real Estate"
"355","APLS","Healthcare"
"356","APO","Financial Services"
"357","APO-A","Financial Services"
"358","APO-B","Financial Services"
"359","APOG","Basic Materials"
"360","APOP","Healthcare"
"361","APPF","Technology"
"362","APPN","Technology"
"363","APPS","Technology"
"364","APRI","Healthcare"
"365","APRN","Consumer Cyclical"
"366","APT","Basic Materials"
"367","APTI","Technology"
"368","APTO","Healthcare"
"369","APTS","Real Estate"
"370","APTV","Consumer Cyclical"
"371","APTX","Healthcare"
"372","APU","Utilities"
"373","APVO","Healthcare"
"374","APWC","Technology"
"375","APY","Energy"
"376","AQ","Technology"
"377","AQB","Healthcare"
"378","AQMS","Industrials"
"379","AQN","Utilities"
"380","AQST","Healthcare"
"381","AQUA","Industrials"
"382","AQXP","Healthcare"
"383","AR","Energy"
"384","ARA","Healthcare"
"385","ARAV","Healthcare"
"386","ARAY","Healthcare"
"387","ARC","Industrials"
"388","ARCB","Industrials"
"389","ARCC","Financial Services"
"390","ARCH","Basic Materials"
"391","ARCI","Consumer Cyclical"
"392","ARCO","Consumer Cyclical"
"393","ARCT","Healthcare"
"394","ARCW","Industrials"
"395","ARD","Consumer Cyclical"
"396","ARDC","Financial Services"
"397","ARDM","Healthcare"
"398","ARDS","Healthcare"
"399","ARDX","Healthcare"
"400","ARE","Real Estate"
"401","ARE-D","Real Estate"
"402","ARES","Financial Services"
"403","ARES-A","Financial Services"
"404","AREX","Energy"
"405","ARGO","Financial Services"
"406","ARGX","Healthcare"
"407","ARI","Real Estate"
"408","ARI-C","Real Estate"
"409","ARKR","Consumer Cyclical"
"410","ARL","Real Estate"
"411","ARLO","Technology"
"412","ARLP","Basic Materials"
"413","ARMK","Consumer Cyclical"
"414","ARNA","Healthcare"
"415","ARNC","Industrials"
"416","AROC","Energy"
"417","AROW","Financial Services"
"418","ARPO","Healthcare"
"419","ARQL","Healthcare"
"420","ARR","Real Estate"
"421","ARR-A","Real Estate"
"422","ARR-B","Real Estate"
"423","ARRS","Technology"
"424","ARRY","Healthcare"
"425","ARTNA","Utilities"
