"","reportDate","grossProfit","costOfRevenue","operatingRevenue","totalRevenue","operatingIncome","netIncome","operatingExpense","currentAssets","totalAssets","totalLiabilities","currentCash","totalCash","shareholderEquity","cashChange","cashFlow","symbol","Quarter"
"1","2018-09-30",17537000,38849000,56126000,56386000,-9402000,-3732000,26939000,215170000,481085000,145600000,58075000,62402000,335485000,-19627000,7546000,"AAOI",1
"2","2018-06-30",33863000,53959000,87822000,87822000,8943000,8034000,24920000,230588000,472204000,129573000,77943000,76190000,342631000,-6129000,22143000,"AAOI",2
"3","2018-03-31",25836000,39403000,65239000,65239000,2170000,2120000,23666000,241825000,475617000,132323000,83299000,82251000,343294000,-1708000,-4064000,"AAOI",3
"4","2017-12-31",32154000,47701000,81061000,79855000,10204000,5716000,21950000,229697000,452984000,119708000,83948000,82972000,333276000,12123000,26786000,"AAOI",4
"5","2018-09-30",2.4084e+10,3.8816e+10,6.29e+10,6.29e+10,1.6118e+10,1.4125e+10,7.966e+09,1.31339e+11,3.65725e+11,2.58578e+11,2.5913e+10,6.6301e+10,1.07147e+11,-6.058e+09,1.9523e+10,"AAPL",1
"6","2018-06-30",2.0421e+10,3.2844e+10,5.3265e+10,5.3265e+10,1.2612e+10,1.1519e+10,7.809e+09,1.15761e+11,3.49197e+11,2.34248e+11,3.1971e+10,7.097e+10,1.14949e+11,-1.3088e+10,1.4488e+10,"AAPL",2
"7","2018-03-31",2.3422e+10,3.7715e+10,6.1137e+10,6.1137e+10,1.5894e+10,1.3822e+10,7.528e+09,1.30053e+11,3.67502e+11,2.40624e+11,4.5059e+10,8.794e+10,1.26878e+11,1.7568e+10,1.513e+10,"AAPL",3
"8","2017-12-31",3.3912e+10,5.4381e+10,8.8293e+10,8.8293e+10,2.6274e+10,2.0065e+10,7.638e+09,1.4381e+11,4.06794e+11,2.66595e+11,2.7491e+10,7.7153e+10,1.40199e+11,7.202e+09,2.8293e+10,"AAPL",4
"9","2018-06-30",-344000,369000,25000,25000,-2668000,-2674000,2324000,15219000,16416000,21520000,150000,150000,-5104000,-560000,-1182000,"ABIL",1
"10","2018-03-31",-108000,495000,387000,387000,-3041000,-3021000,2933000,15952000,17216000,19646000,710000,710000,-2430000,-1234000,-1234000,"ABIL",2
"11","2017-12-31",712000,1231000,1943000,1943000,25000,34000,687000,6482000,20013000,19422000,1944000,1944000,591000,-1620000,-1621000,"ABIL",3
"12","2017-09-30",-366000,563000,197000,197000,-2844000,-3032000,2478000,6561000,20170000,19613000,3564000,3564000,557000,-2427000,-2423000,"ABIL",4
"13","2018-09-30",44833000,49981000,94814000,94814000,8003000,8151000,36830000,449474000,605378000,94850000,70361000,323108000,510528000,-30295000,29863000,"ACIA",1
"14","2018-06-30",25205000,39798000,65003000,65003000,-12119000,-3245000,37324000,431517000,592169000,86242000,100656000,303415000,505927000,15521000,8754000,"ACIA",2
"15","2018-03-31",24071000,48870000,72941000,72941000,-14662000,-9078000,38733000,459077000,602940000,102731000,85135000,307675000,500209000,17640000,9060000,"ACIA",3
"16","2017-12-31",40016000,46587000,86603000,86603000,4943000,-20364000,35073000,447247000,611250000,109200000,67495000,279428000,502050000,-46636000,20076000,"ACIA",4
